"","log(mu[,1]/mu[,4])","log(mu[,2]/mu[,4])","log(mu[,3]/mu[,4])"
"(Intercept)",6.65225523043469e+88,1.99946827367432e+43,8.06859175708957e+128
"`2385696`",1.67397562215202e-14,5.84284323922715e-18,9.35792680511796e-11
"`2406361`",3869768.23518965,8991.0533623794,1311.72764667536
"`2531129`",4.87043036195422e-08,1268.83046065897,8584826.54117486
"`2568968`",3477203.35884799,5.06734747250042e+21,7.03888466538631e-05
"`2601230`",1.30703842435971e-07,1.06991396206181e-09,8.68741591314946e-08
"`2672467`",8770460592047416,46376.4033892387,9703047691773046
"`2674432`",21.914788895334,608.678468938286,0.0273992124606366
"`2773545`",5423557773308.81,0.654058846572026,4.51400121596983e+28
"`2804221`",16268093560.0023,12763057.1033523,8655723.38414216
"`2815331`",5.95120821861835e-09,0.158600414285737,357.150423237158
"`2844453`",67.3355280570011,9.54805537031572,76050075.2489325
"`3005266`",2.98793517615636e-18,2.08657090807499e-05,2.43267123572665e-05
"`3017068`",0.930152957362396,2509657.00648734,3173.09767735536
"`3048778`",22518891.6804809,137289162.610856,49848035.6704836
"`3061438`",9.63867289156547e-14,1.03749696081258e-10,6.30700439747821e-06
"`3103062`",170534649.066627,0.0084573035420474,239717873.710491
"`3104698`",0.0021054511596765,0.545516177136753,1495735.40735599
"`3134828`",1.41542070285267e-12,9660.14090623033,458.981323038083
"`3157311`",7149549852.14099,5057.5038629333,20752108.4392671
"`3279089`",1054.44670307849,3.26790350856394e-07,216.630067726971
"`3336422`",2.60022302214307e-11,1.14021166307139,5339.24392548632
"`3337168`",0.0154410908135641,4.91477494398386e-13,52.1981763314152
"`3346453`",4.74101025452383e-16,4.02995959622263e-17,8.9432662654364e-28
"`3352040`",8.67272277057523e+29,9.50520784927551e+23,15645469483242381312
"`3354095`",5108762148090916864,80574965392501952,1.35686660855356e+20
"`3405587`",2648.07562074913,2.84116231608463,75.0648087882696
"`3428268`",1.41986733655809e-13,1.74842808413313e-08,4.51473537371185e-16
"`3500787`",1.64675780734409e+24,29744436241.885,161109989835211712
"`3585272`",5229.81517930386,1.46431661733273,0.820203397625475
"`3632862`",4.20674199739819,7221706794560316,2.6645459661555
"`3708874`",987.856964046101,29790413180365684736,0.00245968345732168
"`3744589`",5209576.83636908,66872515229667115018,1220904857501292
"`3780271`",3.0645853470112e-05,0.0257838738983811,0.000290193031696092
"`3808600`",4.11986085776216e-06,24041404.3542186,0.000644960578712532
"`3818376`",0.205513638297387,6075778556744112,0.0570620541267733
"`3843934`",410857569754861824,8981439198260166656,7721080053847053312
"`3890913`",1.99939028675255e-08,67.7752163092106,3.52890298996864e-19
"`3475038`",0.000606779737552479,1.03631732730094e-05,0.225903500944253
"`2674317`",0.280768293142405,9.55334879705116,77.4899972345525
"`3556094`",0.430258682306087,2.6287468093682,0.255301943535754
"`2968399`",0.869044390315887,6.77110167435657,4.2962881911746
"`2565935`",295.747210994664,77.4514527288439,608.041320839786
"`2968401`",6.35681126892956,43.9476014669736,0.136486613470689
"`2968349`",57757.6436003693,15724.2907515368,8863.97145730903
"`3551851`",317.891333308576,9.12795004222538,27.6866108587728
"`3556202`",299.691675137676,20.7865826206209,210.538756561021
"`3214800`",5889.45019933167,1336.34902870243,526.521506648681
"`3407583`",7672557.18135323,38255.0609855646,482184.423436202
"`3809690`",0.0602065790223342,1.20866098063167,0.204962867327449
"`3556110`",0.97847514493281,802.243708907621,1.47419408003176
"`3096512`",262.232931788725,6.64455577009399,719.163478059541
"`2359439`",23.5874002619297,0.262905666968171,24.1586222294987
"`3556158`",6.92092313014384,0.000140030500566178,2.52661199131851
"`2968436`",4467.04340791941,5.42120793408829,84838.0027660757
"`3749734`",3100.17892506115,39295.584748376,13.6645669044653
"`2968434`",39.5486907319633,14.7926579634217,0.235554023364325
"`2536332`",0.540620918702689,0.00836666814430166,0.00352410461088966
"`3556274`",0.814182989432062,0.1043132538089,21.0273505651652
