"","naive_bayes.gf","knn.gf","svm.gf","logistic_regression.gf","discriminant_analysis.gf","decision_tree.gf","random_forest.gf"
"1","2385696","2385696","2385696","2385696","2385696","2385696","3157311"
"2","2406361","2406361","2672467","2406361","2406361","2406361","3744589"
"3","2531129","2531129","2773545","2531129","2531129","2531129","3352040"
"4","2568968","2568968","3005266","2568968","2568968","2568968","3134828"
"5","2601230","2601230","3017068","2601230","2601230","2601230","2844453"
"6","2672467","2672467","3103062","2672467","2672467","2672467","2406361"
"7","2674432","2674432","3157311","2674432","2674432","2674432","3890913"
"8","2773545","2773545","3279089","2773545","2773545","2773545","3337168"
"9","2804221","2804221","3354095","2804221","2804221","2804221","2773545"
"10","2815331","2815331","3708874","2815331","2815331","2815331","2568968"
"11","2844453","2844453","3780271","2844453","2844453","2844453","3632862"
"12","3005266","3005266","3808600","3005266","3005266","3005266","3780271"
"13","3017068","3017068","2406361","3017068","3017068","3017068","2385696"
"14","3048778","3048778","2815331","3048778","3048778","3048778","3585272"
"15","3061438","3061438","3405587","3061438","3061438","3061438","3808600"
"16","3103062","3103062","3428268","3103062","3103062","3103062","3500787"
"17","3104698","3104698","3585272","3104698","3104698","3104698","2674432"
"18","3134828","3134828","3818376","3134828","3134828","3134828","3354095"
"19","3157311","3157311","2531129","3157311","3157311","3157311","3405587"
"20","3279089","3279089","2568968","3279089","3279089","3279089","2601230"
"21","3336422","3336422","2601230","3336422","3336422","3336422","3708874"
"22","3337168","3337168","2674432","3337168","3337168","3337168","3346453"
"23","3346453","3346453","2804221","3346453","3346453","3346453","3336422"
"24","3352040","3352040","2844453","3352040","3352040","3352040","2531129"
"25","3354095","3354095","3048778","3354095","3354095","3354095","3103062"
"26","3405587","3405587","3061438","3405587","3405587","3405587","3428268"
"27","3428268","3428268","3104698","3428268","3428268","3428268","3005266"
"28","3500787","3500787","3336422","3500787","3500787","3500787","3279089"
"29","3585272","3585272","3337168","3585272","3585272","3585272","3017068"
"30","3632862","3632862","3346453","3632862","3632862","3632862","3104698"
"31","3708874","3708874","3352040","3708874","3708874","3708874","3843934"
"32","3744589","3744589","3632862","3744589","3744589","3744589","2815331"
"33","3780271","3780271","3744589","3780271","3780271","3780271","3818376"
"34","3808600","3808600","3843934","3808600","3808600","3808600","3048778"
"35","3818376","3818376","3134828","3818376","3818376","3818376","3061438"
"36","3843934","3843934","3500787","3843934","3843934","3843934","2804221"
"37","3890913","3890913","3890913","3890913","3890913","3890913","2672467"
"38","2385696","2385696","2385696","2385696","2385696","`2385696`","3157311"
"39","2406361","2406361","2672467","2406361","2406361","`2406361`","3744589"
"40","2531129","2531129","2773545","2531129","2531129","`2531129`","3352040"
"41","2568968","2568968","3005266","2568968","2568968","`2568968`","3134828"
"42","2601230","2601230","3017068","2601230","2601230","`2601230`","2844453"
"43","2672467","2672467","3103062","2672467","2672467","`2672467`","2406361"
"44","2674432","2674432","3157311","2674432","2674432","`2674432`","3890913"
"45","2773545","2773545","3279089","2773545","2773545","`2773545`","3337168"
"46","2804221","2804221","3354095","2804221","2804221","`2804221`","2773545"
"47","2815331","2815331","3708874","2815331","2815331","`2815331`","2568968"
"48","2844453","2844453","3780271","2844453","2844453","`2844453`","3632862"
"49","3005266","3005266","3808600","3005266","3005266","`3005266`","3780271"
"50","3017068","3017068","2406361","3017068","3017068","`3017068`","2385696"
"51","3048778","3048778","2815331","3048778","3048778","`3048778`","3585272"
"52","3061438","3061438","3405587","3061438","3061438","`3061438`","3808600"
"53","3103062","3103062","3428268","3103062","3103062","`3103062`","3500787"
"54","3104698","3104698","3585272","3104698","3104698","`3104698`","2674432"
"55","3134828","3134828","3818376","3134828","3134828","`3134828`","3354095"
"56","3157311","3157311","2531129","3157311","3157311","`3157311`","3405587"
"57","3279089","3279089","2568968","3279089","3279089","`3279089`","2601230"
"58","3336422","3336422","2601230","3336422","3336422","`3336422`","3708874"
"59","3337168","3337168","2674432","3337168","3337168","`3337168`","3346453"
"60","3346453","3346453","2804221","3346453","3346453","`3346453`","3336422"
"61","3352040","3352040","2844453","3352040","3352040","`3352040`","2531129"
"62","3354095","3354095","3048778","3354095","3354095","`3354095`","3103062"
"63","3405587","3405587","3061438","3405587","3405587","`3405587`","3428268"
"64","3428268","3428268","3104698","3428268","3428268","`3428268`","3005266"
"65","3500787","3500787","3336422","3500787","3500787","`3500787`","3279089"
"66","3585272","3585272","3337168","3585272","3585272","`3585272`","3017068"
"67","3632862","3632862","3346453","3632862","3632862","`3632862`","3104698"
"68","3708874","3708874","3352040","3708874","3708874","`3708874`","3843934"
"69","3744589","3744589","3632862","3744589","3744589","`3744589`","2815331"
"70","3780271","3780271","3744589","3780271","3780271","`3780271`","3818376"
"71","3808600","3808600","3843934","3808600","3808600","`3808600`","3048778"
"72","3818376","3818376","3134828","3818376","3818376","`3818376`","3061438"
"73","3843934","3843934","3500787","3843934","3843934","`3843934`","2804221"
"74","3890913","3890913","3890913","3890913","3890913","`3890913`","2672467"
